house_name,location,bedroom_count,bathroom_count,carport_count,price,land_area,building_area_(m2)
"Rumah 2 Lantai Bagus Sertifikat Hak Milik di Maltra Residence, Bandung","Andir, Bandung",3,2,2,2100000000,137,170
Rumah Cantik @ Andir (Sudirman),"Andir, Bandung",3,2,3,4100000000,202,300
Jual Cepat Rumah di Maleber Rajawali Bisa Untuk Usaha,"Andir, Bandung",5,2,1,3300000000,350,258
Rumah minimalis 3 lantai di andir Bandung cocok buat tempat usaha,"Andir, Bandung",2,2,1,580000000,30,80
"Rumah 2,5 Lantai Strategis SHM di Komplek Kertalaksana Bandung","Andir, Bandung",5,3,1,3600000000,184,234
Rumah Bagus Semi Furnished Gateway Residence Gunung Batu Bandung,"Andir, Bandung",2,1,1,1170000000,65,45
Rumah 2 Lantai Cocok Untuk Gudang Dll Di Daerah Dadali Bandung,"Andir, Bandung",4,3,2,2900000000,260,260
"Rumah Nyaman Siap Huni Di Maltra Residence, Bandung","Andir, Bandung",3,2,2,2100000000,137,170
Jual Rumah Bagus Taman Pesona Mediteran Sayap Paster Bandung,"Andir, Bandung",4,3,2,2200000000,172,220
RUMAH PUSAT KOTA SAYAP SUDIRMAN BANDUNG,"Andir, Bandung",2,2,1,1400000000,137,160
Dijual Rumah Lama Terawat Nyaman Strategis di Komplek Dadali,"Andir, Bandung",4,3,0,3500000000,222,196
Dijual Rumah Minimalis Modern Furnish di Istana Sudirman Regency,"Andir, Bandung",3,2,2,1500000000,74,78
"Rumah Siap Huni Sayap Gunung Batu, Babakan Cianjur, Pasteur","Andir, Bandung",4,1,0,650000000,180,90
Dijual Rumah Town House Baru di Sayap Jenderal Sudirman,"Andir, Bandung",2,2,1,1200000000,38,114
Rumah 2 Lantai di Rajawali Sakti Dekat Supermarket,"Andir, Bandung",4,1,0,1100000000,97,90
Rumah Jalan Elang Dekat Pusat Kota,"Andir, Bandung",3,2,2,2750000000,245,190
Jual Cepat Rumah di Maleber Rajawali Bisa Untuk Usaha,"Andir, Bandung",5,2,3,3300000000,350,258
Rumah Butuh Renovasi 2 Lantai SHM hadap Timur di Bandung,"Andir, Bandung",4,2,4,3500000000,240,200
Dijual Rumah Bagus Di Maltra Residence Maleber (phlp),"Andir, Bandung",3,2,0,2300000000,137,170
Rumah Hitung Tanah di Komplek Elang,"Andir, Bandung",3,2,0,1200000000,126,98
Dijual Rumah Murah Strategis di Komp Pesona Pasteur Residence,"Andir, Bandung",2,1,0,875000000,100,60
Rumah Hitung Tanah Dekat Masjid Sayap Dadali Bandung,"Andir, Bandung",3,2,0,1750000000,233,230
Rumah Dijual Terawat Siap Huni di Area Rajawali,"Andir, Bandung",3,3,0,2200000000,159,130
Dijual rumah di Andir Townhouse,"Andir, Bandung",3,3,1,1800000000,63,63
"Rumah 2,5 Lantai Strategis Tengah Kota di Sayap Sudirman Bandung","Andir, Bandung",6,4,0,7000000000,143,288
Dijual Cepat Rumah Siap Huni di Komplek Dadali ,"Andir, Bandung",4,3,1,3500000000,240,200
"Dijual Rumah Unfurnished di Jl. Rajawali Sakti I , Bandung","Andir, Bandung",4,3,2,1800000000,158,150
Rumah Bersih Nyaman 2 Lantai Di Jalan Waringin Andir Bandung,"Andir, Bandung",4,2,0,600000000,85,80
Rumah Mungil Minimalis Murah di kota bandung dalam Gang 20 M ke Jl Rajawali Timur Bandung,"Andir, Bandung",1,1,0,265000000,22,46
" Rumah SHM - Sertifikat Hak Milik di Maleber, Andir","Andir, Bandung",5,4,1,1500000000,170,350
Rumah Terawat di Pusat Kota Bandung Sayap Rajawali Andir,"Andir, Bandung",4,1,1,1100000000,97,90
Rumah Siap Huni di Sayap Rajawali,"Andir, Bandung",3,2,0,2350000000,198,175
Strategis Ruko 2 Lantai Area Rajawali Garuda Andir Bandung Kota,"Andir, Bandung",4,2,2,2570000000,134,220
Rumah Nyaman Berada Dipusat Kota Bandung di Halteu Utara,"Andir, Bandung",4,1,1,500000000,120,110
Dijual Rumaah di Lugina Andir,"Andir, Bandung",2,1,1,3000000000,240,200
"Jl. Elang, Garuda, Andir. Dijual Rumah 3 Lantai di Kota Bandung","Andir, Bandung",2,2,1,550000000,31,77
Rumah 2 Lantai dijual bagus siap huni sayap andir bandung,"Andir, Bandung",2,2,0,1400000000,137,160
HOT DEAL SALE!! YUK MILIKI RUMAH HOKI!! Rumah Bagus Minimalis Campaka Andir,"Andir, Bandung",2,2,1,1100000000,72,65
HOT DEAL SALE!! YUK KEPOIN HARGA KEREN!! Rumah Bagus Campaka Andir Pasteur,"Andir, Bandung",4,2,2,1250000000,200,150
Rumah ex kos2 an jl Maleber Barat,"Andir, Bandung",5,3,0,400000000,56,95
Dijual Rumah Baru Ditengah Kota Andir. Rumah Sudah Smart Home,"Andir, Bandung",3,2,1,1600000000,70,116
Rumah Minimalis Sayap Rajawali Ciroyom Bandung,"Andir, Bandung",4,2,1,1800000000,89,145
Rumah 2 lantai di jl Halteu Utara ,"Andir, Bandung",4,2,1,1800000000,89,145
Dijual rumah kawasan sayap Jalan Elang Bandung,"Andir, Bandung",3,1,0,2000000000,200,180
TURUN HARGA! RUMAH RAJAWALI SAKTI (DEKAT PUSAT KOTA),"Andir, Bandung",6,3,2,2000000000,161,200
Rumah Tinggal lokasi strategis di pusat kota Bandung ,"Andir, Bandung",4,2,1,1200000000,120,100
Rumah di Sayap Rajawali 2 Lantai (HSO),"Andir, Bandung",4,2,4,3500000000,240,200
Jual rumah pusat kota ,"Andir, Bandung",5,4,1,1350000000,170,350
Rumah di Rajawali lokasi strategis siap huni ,"Andir, Bandung",4,1,1,1100000000,97,90
DIJUAL RUMAH ASRI BANGUNAN KOKOH TERAWAT DI ANDIR BANDUNG,"Andir, Bandung",3,1,0,550000000,125,115
"Rumah 2 Lantai Murah Tengah Kota Sayap Rajawali, Bandung","Andir, Bandung",4,1,1,1100000000,97,90
Rumah perkomplekan,"Andir, Bandung",4,3,1,4000000000,202,300
Rumah Hunian Pusat Kota Bandung Murah Andir Town House,"Andir, Bandung",3,2,2,1400000000,49,72
Rumah sayap pajajaran Minimalis 2 Lantai Hommy terawat,"Andir, Bandung",4,4,4,1580000000,178,250
Dijual Rumah Pusat Kota Dekat Mall Paskal 23,"Andir, Bandung",3,2,1,1600000000,70,116
Dijual rumah lokasi dekat dengan Bandara husen kota bandung,"Andir, Bandung",4,3,1,1750000000,158,150
HOT DEAL SALE!! MILIKI Rumah 2 Lantai Bagus Maleber Andir,"Andir, Bandung",3,1,0,325000000,38,70
Rumah Dijual Minimalis Cantik di Dalam Komplek Sayap Rajawali,"Andir, Bandung",3,2,0,1200000000,126,98
Dijual Rumah Posisi Tusuk Sate Di Jl Garuda Kota Bandung,"Andir, Bandung",5,4,0,5300000000,270,160
Jual Rumah Sayap Rajawali ,"Andir, Bandung",5,4,1,1500000000,170,350
Rumah Pusat Kota Sayap Dulatip Akses Gang,"Andir, Bandung",4,2,0,2500000000,168,165
Rumah Minimalis Tengah Kota Andir Town House,"Andir, Bandung",2,2,1,999000000,39,52
Rumah Pasteur Bonus Furnished Exclusive 1.3KM SMAN 13 Andir Cibeureum,"Andir, Bandung",4,3,2,1990000000,104,125
Rumah 2 Lantai Siap Huni di Sayap Pasteur Bandung ,"Andir, Bandung",4,4,0,2500000000,153,167
Dijual Rumah Tengah Kota Rajawali Sakti Bandung,"Andir, Bandung",3,2,1,3700000000,235,150
Dijual Rumah Tinggal Di Halteu Selatan Kota Bandung,"Andir, Bandung",3,2,2,2000000000,140,90
Rumah 2 Lantai Siap Huni di Town House Andir,"Andir, Bandung",3,2,1,1600000000,70,116
Jual Rumah Siap Huni Sudirman Town House Area Sudirman,"Andir, Bandung",4,4,2,5000000000,160,226
Rumah Apik Kec Andir,"Andir, Bandung",3,2,0,3950000000,202,360
"Jual Rumah Tipe Split House 2 Lantai  di Jamika, andir Bandung","Andir, Bandung",5,3,1,4000000000,184,234
Rumah di rajawali dijual murah,"Andir, Bandung",4,1,1,1100000000,97,90
Rumah di Cempaka Hijau(as) Andir Maleber dekat Bandara Husein,"Andir, Bandung",2,2,0,1300000000,137,160
Jual Cepat Rumah Tengah Kota Bandung Rajawali Andir,"Andir, Bandung",4,1,2,1100000000,97,120
"Stok Terbatas Nih... Rumah Tengah Kota, Sangat Strategis Area Cibadak","Andir, Bandung",4,4,1,3600000000,127,250
"Ruko Maleber Pajajaran, Lokasi Strategis, Cocok Untuk Usaha","Andir, Bandung",4,3,1,2500000000,259,270
Rumah siap huni elang,"Andir, Bandung",0,2,1,1550000000,129,98
"Rumah Bagus di Rajawali, Bandung, Siap Huni H","Andir, Bandung",4,2,0,1400000000,140,160
"Rumah Nyaman Untuk Hunian di Srigunting Utara, Sayap Rajawali","Andir, Bandung",4,2,3,3300000000,240,200
Rumah Sudirman Townhouse Di Jalan Jendral Sudirman Lokasi Strategis Dekat Pusat Kota,"Andir, Bandung",5,4,1,6500000000,195,320
 Rumah Bagus Dijual Harga Dibawah Njop di Sudirman Bandung,"Andir, Bandung",4,3,1,4000000000,255,350
Dijual Rumah 1 Lantai Strategis Area Pagarsih Jamika Bandung,"Andir, Bandung",3,1,0,600000000,71,65
Jual Rumah tengah kota siap huni,"Andir, Bandung",3,2,1,1550000000,129,100
"RUKO Jendral Sudirman, dkt Cibadak","Andir, Bandung",2,2,0,7500000000,165,300
"Rumah Bagus di Rajawali, Bandung, Siap Huni ","Andir, Bandung",4,2,0,1400000000,140,160
Dijual Rumah Kelenteng Sayap Cibadak Bandung,"Andir, Bandung",6,3,2,4250000000,253,180
"Rumah 2 Lantai Bagus SHM di Gang Kebon Kopi, Bandung","Andir, Bandung",2,1,0,260000000,32,60
Rumah di sayap Rajawali bisa dijadikan tempat usaha ,"Andir, Bandung",3,1,1,3000000000,350,258
Rumah Cantik Nyaman Siap Huni di Kompleks Kertalaksana Bandung,"Andir, Bandung",4,3,2,3600000000,202,300
Rumah Siap Huni Di Tengah Kota Andir Town House Bandung,"Andir, Bandung",3,2,0,1400000000,49,72
Rumah Sayap Rajawali,"Andir, Bandung",3,2,1,2500000000,196,150
"Rumah Cluster Exclusive SHM Andir Town House,bandung","Andir, Bandung",3,2,0,1400000000,49,72
Rumah di Maleber Barat Andir Strategis Bisa Untuk Usaha Jual Lelang,"Andir, Bandung",2,2,4,1240000000,216,273
Murah Rumah di Jalan Maleber Barat Andir,"Andir, Bandung",2,2,0,1240000000,216,273
"Rumah 2 Lantai Unfurnished di Komplek Elang , Bandung","Andir, Bandung",6,3,2,1500000000,187,370
"Rumah Dalam Komplek di Sayap Rajawali, Bandung","Andir, Bandung",3,2,1,1200000000,126,98
Jual rumah untuk kost Sayap Rajawali 2 lantai,"Andir, Bandung",7,3,1,2100000000,140,300
Rumah di Cempaka Hijau Andir Maleber dekat Bandara Husein,"Andir, Bandung",2,2,0,1300000000,137,160
Di jual rumah di komplek Kertalaksana,"Andir, Bandung",5,3,1,3600000000,184,234
Rumah Daerah Maleber Cocok Untuk Tempat Usaha Atau Kos Kost,"Andir, Bandung",5,4,1,2000000000,170,350
Rumah Baru Minimalis Tengah Kota Andir Townhouse,"Andir, Bandung",3,2,0,1600000000,70,116
Dijual Rumah Layak Huni Sayap Gardujati Kota Bandung,"Andir, Bandung",3,2,0,3250000000,204,100
Rumah Murah Lokasi Pusat Kota Dalam Komlek Andir ,"Andir, Bandung",4,3,3,3500000000,202,300
Dijual Cepat Murah Rumah Bisa Usaha di Mainroad Sudirman Andir,"Andir, Bandung",4,3,0,4000000000,255,350
Rumah Dekat Rumah Sakit Rajawali Komplek Garuda Elang Andir,"Andir, Bandung",3,2,1,1100000000,129,98
Dijual Rumah Murah Minimalis Di Rajawali,"Andir, Bandung",3,2,1,1650000000,151,180
dijual cepat rumah 2 lantai,"Andir, Bandung",2,1,1,890000000,78,45
BU Rumah Pusat Kota Katapang Kencana Sudirman,"Andir, Bandung",2,1,1,890000000,78,45
Dijual Rumah di Rajawali Bandung,"Andir, Bandung",5,4,0,2200000000,87,150
Rumah Bagus 3 Lantai Siap Huni di Sayap Rajawali,"Andir, Bandung",3,3,1,3250000000,184,300
Rumah Hitung Tanah Strategis di Pusat Kota Bandung Jalan Dulatip,"Andir, Bandung",3,2,0,5000000000,107,100
"Dijual rumah 1,5 lantai sayap Sudirman Bandung","Andir, Bandung",3,2,2,1800000000,140,90
Rumah Komplek DADALI Bandung,"Andir, Bandung",3,2,1,2500000000,200,150
Dijual Rumah Baru 2 Lantai Tengah Kota Dalam Cluster,"Andir, Bandung",3,2,1,1600000000,70,116
Dijual Rumah Murah di Rajawali Sakti,"Andir, Bandung",4,1,1,1100000000,97,90
Dijual Rumah Cantik Minimalis Furnish di Istana Sudirman Regency,"Andir, Bandung",3,2,1,1500000000,74,100
"Dijual Rumah Baru SHM Ditengah Kota Andir, Bandung","Andir, Bandung",3,2,1,1600000000,70,116
Rumah di Rajawali dekat ke Bandara Husein,"Andir, Bandung",3,2,0,1150000000,127,128
DIJUAL RUMAH BARU LOKASI STRATEGIS TENGAH KOTA ONE GATE DAERAH ANDIR BANDUNG,"Andir, Bandung",3,2,1,1600000000,70,116
Rumah town house di pusat kota bandung,"Andir, Bandung",2,1,0,800000000,41,35
New House di Jalan Kembar Bandung,"Andir, Bandung",3,2,1,1950000000,102,130
"Rumah Diijual Bagus di Town House Andir, Bandung","Andir, Bandung",3,2,1,1600000000,70,116
"Rumah 2 Lantai Bagus Langka Di Andir Pusat Kota Bandung Rumah Semi Furnished SHM - Sertifikat Hak Milik Bagus di Andir Bandung, Andir","Andir, Bandung",3,2,2,4000000000,202,360
Rumah Tengah Kota Dim Komplek Kartalaksana Andir Bandung,"Andir, Bandung",3,2,2,4000000000,202,360
Dijual rumahSiap huni Town house  andir,"Andir, Bandung",3,2,1,1600000000,70,116
tanah murah BU sayap sudirman jamika andir pusat kota ,"Andir, Bandung",3,2,1,1600000000,150,90
Rumah Tinggal Cocok Untuk Home Industry Pusat Kota,"Andir, Bandung",2,2,1,1980000000,153,125
