price,bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,sqft_above,sqft_basement,yr_built,yr_renovated,city,statezip
313000.0,3.0,1.5,1340,7912,1.5,0,0,3,1340,0,1955,2005,36,62
342000.0,3.0,2.0,1930,11947,1.0,0,0,4,1930,0,1966,0,18,26
420000.0,3.0,2.25,2000,8030,1.0,0,0,4,1000,1000,1963,0,3,7
550000.0,4.0,2.5,1940,10500,1.0,0,0,4,1140,800,1976,1992,31,31
490000.0,2.0,1.0,880,6380,1.0,0,0,3,880,0,1938,1994,35,54
335000.0,2.0,2.0,1350,2560,1.0,0,0,3,1350,0,1976,0,31,31
640000.0,4.0,2.0,1520,6200,1.5,0,0,3,1520,0,1945,2010,35,54
463000.0,3.0,1.75,1710,7320,1.0,0,0,3,1710,0,1948,1994,20,67
588500.0,3.0,1.75,2330,14892,1.0,0,0,3,1970,360,1980,0,33,42
365000.0,3.0,1.0,1090,6435,1.0,0,0,4,1090,0,1955,2009,35,49
242500.0,3.0,1.5,1200,9720,1.0,0,0,4,1200,0,1965,0,18,26
419000.0,3.0,1.5,1570,6700,1.0,0,0,4,1570,0,1956,0,3,6
367500.0,4.0,3.0,3110,7231,2.0,0,0,3,3110,0,1997,0,1,45
257950.0,3.0,1.75,1370,5858,1.0,0,0,3,1370,0,1987,2000,10,73
275000.0,3.0,1.5,1180,10277,1.0,0,0,3,1180,0,1983,2009,27,27
750000.0,3.0,1.75,2240,10578,2.0,0,0,5,1550,690,1923,0,35,54
435000.0,4.0,1.0,1450,8800,1.0,0,0,4,1450,0,1954,1979,3,5
626000.0,3.0,2.25,1750,1572,2.5,0,0,3,1470,280,2005,0,35,46
612500.0,4.0,2.5,2730,12261,2.0,0,0,3,2730,0,1991,0,5,9
495000.0,4.0,1.75,1600,6380,1.0,0,0,3,1130,470,1959,1989,35,60
285000.0,3.0,2.5,2090,10834,1.0,0,0,4,1360,730,1987,0,14,2
615000.0,3.0,1.75,2360,7291,1.0,0,0,4,1360,1000,1948,0,35,63
698000.0,4.0,2.25,2200,11250,1.5,0,0,5,1300,900,1920,0,19,21
790000.0,3.0,2.5,2600,4750,1.0,0,0,4,1700,900,1951,1999,35,56
382500.0,4.0,1.75,1560,8700,1.0,0,0,4,1560,0,1967,0,19,22
499950.0,4.0,2.5,2860,3345,2.0,0,0,3,2190,670,2004,2003,42,41
625000.0,4.0,2.5,2820,8408,2.0,0,0,3,2820,0,2014,0,36,67
440000.0,2.0,1.0,800,4850,1.0,0,0,4,800,0,1944,0,35,50
335000.0,3.0,2.25,1580,16215,1.0,0,0,4,1580,0,1978,2000,13,14
260000.0,4.0,2.0,1480,8625,1.0,0,0,4,1480,0,1974,0,32,33
308500.0,2.0,1.0,850,6174,1.0,0,0,4,850,0,1950,1983,36,67
439950.0,3.0,2.5,1770,2875,2.0,0,0,3,1770,0,1990,2009,35,55
235000.0,2.0,1.0,1210,9400,1.0,0,0,2,1210,0,1949,0,35,49
315000.0,3.0,1.0,1160,9180,1.0,0,0,3,1160,0,1968,1997,42,44
407500.0,3.0,2.5,1930,10460,2.0,0,0,3,1930,0,1996,0,32,37
445700.0,3.0,2.5,1270,1180,3.0,0,0,3,1270,0,2001,0,35,50
805000.0,3.0,2.0,2710,4500,1.5,0,0,4,1880,830,1929,0,35,54
470000.0,5.0,2.5,2210,9655,1.0,0,0,3,1460,750,1976,0,5,9
430000.0,4.0,1.5,1920,10000,1.0,0,0,4,1070,850,1954,1979,3,5
385000.0,3.0,3.25,1320,1327,2.0,0,0,3,1040,280,2008,0,35,74
295000.0,2.0,2.5,1630,1368,2.0,0,0,3,1280,350,2009,0,35,49
555000.0,4.0,2.5,3310,6500,2.0,0,0,3,3310,0,2012,1912,38,38
459990.0,3.0,2.5,2680,5539,2.0,0,0,3,2680,0,2013,1923,27,27
300000.0,3.0,2.5,2540,5050,2.0,0,0,3,2540,0,2006,0,18,26
625000.0,4.0,2.75,2920,6605,2.0,0,0,3,2920,0,2012,1912,32,37
553000.0,2.0,1.0,900,5000,1.0,0,0,3,900,0,1944,0,35,56
379880.0,3.0,2.5,1650,14054,1.0,0,0,4,1130,520,1986,0,16,15
310000.0,3.0,1.0,1010,9945,1.0,0,0,4,1010,0,1973,0,38,38
775000.0,2.0,2.5,2680,7392,1.0,0,0,3,2680,0,2004,2003,31,32
365000.0,3.0,2.5,2200,7350,1.0,0,0,5,1570,630,1988,0,32,36
783500.0,3.0,2.5,2850,7130,2.0,0,0,3,1990,860,1980,0,35,59
628000.0,4.0,2.0,2280,6010,1.0,0,0,3,1140,1140,1900,2005,35,59
560000.0,3.0,2.5,1900,8744,2.0,0,0,3,1900,0,1987,2000,33,42
531000.0,2.0,3.0,1270,1175,2.0,0,0,3,1110,160,2000,0,35,47
831000.0,4.0,3.0,2170,4000,2.0,0,0,4,1610,560,1982,2011,35,53
755000.0,4.0,2.5,2120,10202,1.0,0,0,4,1620,500,1960,2001,3,4
